seed,K_true,profile_id,model,true_separation,true_nabc_separation,true_cosine_separation,mcmc_converged,benchmark_pass,publication_status,sampler_status,mixing_status,interpretation_status,active_component_count,similarity_adjusted_count,nabc_effective_count,shannon_count
7,1,tv00_anchor,mixture_k2,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,1.0,1.0,1.0,1.0573568935123243
8,1,tv00_anchor,mixture_k2,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,1.0,1.0,1.0,1.08829093522402
9,1,tv00_anchor,mixture_k2,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,1.0,1.0,1.0,1.0308705024020002
10,1,tv00_anchor,mixture_k2,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,1.0,1.0,1.0,1.0341912842933867
11,1,tv00_anchor,mixture_k2,0.0,0.0,0.0,False,False,Fail,Pass,Fail,Fail,2.0,1.1755998982807374,1.487346451120963,1.8938589463762792
17,1,tv00_anchor,mixture_k3,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,2.0,1.0685726583903383,1.0487932320703248,1.4596227176983467
18,1,tv00_anchor,mixture_k3,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,2.0,1.0706926935542218,1.0743363173116791,1.6747214080679023
19,1,tv00_anchor,mixture_k3,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,2.0,1.0526359165580412,1.0807987996136048,1.4779469697172565
20,1,tv00_anchor,mixture_k3,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,2.0,1.0478900900799613,1.0640590048894234,1.3543601792196798
21,1,tv00_anchor,mixture_k3,0.0,0.0,0.0,True,True,Pass,Pass,Pass,Pass,2.0,1.0915891623312315,1.0775805232686066,2.2006515134551705
8,2,tv07_low,mixture_k2,0.06778295680180499,0.038932983951030474,0.007372719068573619,False,False,Fail,Pass,Fail,Fail,2.0,1.184604153813817,1.4902084544892573,1.9998966720345808
18,2,tv07_low,mixture_k3,0.06778295680180499,0.038932983951030474,0.007372719068573619,True,True,Pass,Pass,Pass,Pass,2.0,1.0673312002636368,1.0756237867207301,1.6418997288857278
10,2,tv07_low,mixture_k2,0.06778297488958965,0.03893299751971376,0.0073727230567897095,False,False,Fail,Pass,Fail,Fail,2.0,1.101720725188804,1.314952764898343,1.2561453171021617
20,2,tv07_low,mixture_k3,0.06778297488958965,0.03893299751971376,0.0073727230567897095,True,True,Pass,Pass,Pass,Pass,2.0,1.0483487951283192,1.0552680191528756,1.3295840869686546
9,2,tv07_low,mixture_k2,0.0677829990443071,0.038933007291807604,0.007372728236487824,True,True,Pass,Pass,Pass,Pass,1.0,1.0,1.0,1.0311746858451198
19,2,tv07_low,mixture_k3,0.0677829990443071,0.038933007291807604,0.007372728236487824,True,True,Pass,Pass,Pass,Pass,2.0,1.051119582477032,1.0805935886581817,1.4171097183605896
11,2,tv07_low,mixture_k2,0.06778299985302773,0.03893300785781566,0.007372728414092311,False,False,Fail,Pass,Fail,Fail,2.0,1.1810000333687491,1.4758948218433043,1.9986277320202765
21,2,tv07_low,mixture_k3,0.06778299985302773,0.03893300785781566,0.007372728414092311,True,True,Pass,Pass,Pass,Pass,2.0,1.0766882490752774,1.0653774896873736,1.7349608215680863
7,2,tv07_low,mixture_k2,0.06778300997793477,0.038933014944044615,0.007372730637639768,True,True,Pass,Pass,Pass,Pass,1.0,1.0,1.0,1.0406563598818712
17,2,tv07_low,mixture_k3,0.06778300997793477,0.038933014944044615,0.007372730637639768,True,True,Pass,Pass,Pass,Pass,2.0,1.0720802940742487,1.0530795061439266,1.6109642344601989
9,2,tv27_mid,mixture_k2,0.2690906106722472,0.1468024465455375,0.11374124781326178,True,True,Pass,Pass,Pass,Pass,2.0,1.2046332198152254,1.0868468907274806,1.962925187646671
19,2,tv27_mid,mixture_k3,0.2690906106722472,0.1468024465455375,0.11374124781326178,True,True,Pass,Pass,Pass,Pass,3.0,1.2227852480034973,1.2781846180998553,2.3783714433977954
11,2,tv27_mid,mixture_k2,0.2690906119987062,0.1468024472887881,0.11374124891356885,True,True,Pass,Pass,Pass,Pass,2.0,1.203475354612072,1.0844417093166991,1.9871108590299835
21,2,tv27_mid,mixture_k3,0.2690906119987062,0.1468024472887881,0.11374124891356885,True,True,Pass,Pass,Pass,Pass,3.0,1.2410633681505356,1.2396094846958348,2.477736542767333
7,2,tv27_mid,mixture_k2,0.2690906286055261,0.14680245659403454,0.11374126268904194,True,True,Pass,Pass,Pass,Pass,2.0,1.277900518299144,1.1147816215374526,1.9952847016621302
17,2,tv27_mid,mixture_k3,0.2690906286055261,0.14680245659403454,0.11374126268904194,True,True,Pass,Pass,Pass,Pass,3.0,1.3187519486954733,1.2425040356968007,2.544849839101644
8,2,tv27_mid,mixture_k2,0.26909064710774705,0.14680246696132515,0.11374127803676459,True,True,Pass,Pass,Pass,Pass,2.0,1.1405455229559016,1.0981559318274106,1.9204514410314109
18,2,tv27_mid,mixture_k3,0.26909064710774705,0.14680246696132515,0.11374127803676459,True,True,Pass,Pass,Pass,Pass,3.0,1.1774908123880885,1.2537325983481067,2.247169853721678
10,2,tv27_mid,mixture_k2,0.2690906519037755,0.1468024727550219,0.11374128237359982,True,True,Pass,Pass,Pass,Pass,2.0,1.1973066720426233,1.0816020310732948,1.9838778628788407
20,2,tv27_mid,mixture_k3,0.2690906519037755,0.1468024727550219,0.11374128237359982,True,True,Pass,Pass,Pass,Pass,3.0,1.252355615496654,1.2328280691581937,2.452681267397226
9,2,tv59_high,mixture_k2,0.5860100290314864,0.29982906419860633,0.490010876695783,True,True,Pass,Pass,Pass,Pass,2.0,1.3039796583578132,1.2624208990448045,1.9270504581888692
19,2,tv59_high,mixture_k3,0.5860100290314864,0.29982906419860633,0.490010876695783,False,True,Pass,Pass,Pass,Fail,3.0,1.3235864923942995,1.3046182441718812,2.542989837430837
11,2,tv59_high,mixture_k2,0.5860100301070245,0.2998290648121341,0.4900108782641487,True,True,Pass,Pass,Pass,Pass,2.0,1.2112042251903623,1.2347648024547222,1.9918242978337577
21,2,tv59_high,mixture_k3,0.5860100301070245,0.2998290648121341,0.4900108782641487,False,True,Warn,Pass,Warn,Fail,3.0,1.298104667162005,1.2252598044255116,2.690768152829488
7,2,tv59_high,mixture_k2,0.5860100435723964,0.2998290724932944,0.49001089789955987,True,True,Pass,Pass,Pass,Pass,2.0,1.2944336187652679,1.2014569058284268,1.9830972760573473
17,2,tv59_high,mixture_k3,0.5860100435723964,0.2998290724932944,0.49001089789955987,False,True,Pass,Pass,Pass,Warn,3.0,1.290720110713843,1.2279026327297582,2.794884232037488
8,2,tv59_high,mixture_k2,0.5860100585746238,0.29982908105113554,0.49001091977603717,True,True,Pass,Pass,Pass,Pass,2.0,1.2231636944078352,1.1740222009290848,1.922438556253051
18,2,tv59_high,mixture_k3,0.5860100585746238,0.29982908105113554,0.49001091977603717,False,False,Fail,Pass,Fail,Fail,3.0,1.2217072912615945,1.2642631947831566,2.977311517280829
10,2,tv59_high,mixture_k2,0.5860100714560179,0.29982908527828755,0.4900109380446621,True,True,Pass,Pass,Pass,Pass,2.0,1.2738393809669564,1.1518421587347007,1.985651903354056
20,2,tv59_high,mixture_k3,0.5860100714560179,0.29982908527828755,0.4900109380446621,False,False,Fail,Pass,Fail,Fail,3.0,1.312208302327946,1.1891469202085385,2.6913282174742865
11,2,tv94_extreme,mixture_k2,0.9405210871557139,0.46730224035998547,0.9672337531739164,True,True,Pass,Pass,Pass,Pass,2.0,1.6843588266246077,1.4723498922486211,1.9920200049822578
21,2,tv94_extreme,mixture_k3,0.9405210871557139,0.46730224035998547,0.9672337531739164,True,True,Pass,Pass,Pass,Pass,3.0,1.771512986358566,1.6788963235537036,2.6128362864751287
9,2,tv94_extreme,mixture_k2,0.9405210910358088,0.4673022407287517,0.9672337565164352,True,True,Pass,Pass,Pass,Pass,2.0,1.6726501233173796,1.3501869803329378,1.9379958893015639
19,2,tv94_extreme,mixture_k3,0.9405210910358088,0.4673022407287517,0.9672337565164352,True,True,Pass,Pass,Pass,Pass,3.0,1.840195665339338,1.5099716478119856,2.569908789571672
7,2,tv94_extreme,mixture_k2,0.9405210917333807,0.4673022495783791,0.967233757165386,True,True,Pass,Pass,Pass,Pass,2.0,1.6196242138635377,1.2712626233773845,1.9825181005612946
17,2,tv94_extreme,mixture_k3,0.9405210917333807,0.4673022495783791,0.967233757165386,True,True,Pass,Pass,Pass,Pass,3.0,1.1873164691451548,1.4302562163415065,2.1894128670816952
8,2,tv94_extreme,mixture_k2,0.9405210924530831,0.4673022587087656,0.967233757834925,True,True,Pass,Pass,Pass,Pass,2.0,1.59497164550479,1.2994216380337293,1.9162090990898755
18,2,tv94_extreme,mixture_k3,0.9405210924530831,0.4673022587087656,0.967233757834925,False,False,Fail,Pass,Fail,Fail,3.0,1.0839713929324077,1.2566754060314536,2.705745399265739
10,2,tv94_extreme,mixture_k2,0.9405210972202354,0.4673022817557373,0.9672337620651416,True,True,Pass,Pass,Pass,Pass,2.0,1.664998361126064,1.2327051764139816,1.9842846730046197
20,2,tv94_extreme,mixture_k3,0.9405210972202354,0.4673022817557373,0.9672337620651416,True,True,Pass,Pass,Pass,Pass,3.0,1.778521216599595,1.5644936803148917,2.6039469288743065
8,3,tv05_low,mixture_k2,0.045211404185986515,0.026084155959379688,0.0036914350633233304,False,False,Fail,Pass,Fail,Fail,2.0,1.1699054657451222,1.3848301536906917,1.605593092598464
18,3,tv05_low,mixture_k3,0.045211404185986515,0.026084155959379688,0.0036914350633233304,True,True,Pass,Pass,Pass,Pass,2.0,1.0649674175234087,1.0767286432620347,1.5742637261109207
10,3,tv05_low,mixture_k2,0.04521141627133493,0.026084165094050833,0.0036914369361648416,False,False,Fail,Pass,Fail,Fail,2.0,1.1814177006214837,1.505061416525128,1.9684404057719935
20,3,tv05_low,mixture_k3,0.04521141627133493,0.026084165094050833,0.0036914369361648416,True,True,Pass,Pass,Pass,Pass,2.0,1.049058578527865,1.0556931309312896,1.396482509398554
9,3,tv05_low,mixture_k2,0.04521143240130371,0.026084171676878844,0.0036914397269356414,True,True,Pass,Pass,Pass,Pass,1.0,1.0,1.0,1.0320132671907316
19,3,tv05_low,mixture_k3,0.04521143240130371,0.026084171676878844,0.0036914397269356414,True,True,Pass,Pass,Pass,Pass,2.0,1.0523033514266702,1.0757758375979647,1.4273397450550218
