K_true,profile_id,model,true_separation,true_nabc_separation,true_cosine_separation,active_component_count,similarity_adjusted_count,nabc_effective_count,shannon_count,benchmark_pass_rate,mcmc_converged_rate,publication_pass_rate,publication_fail_rate
1,tv00_anchor,mixture_k2,0.0,0.0,0.0,1.2,1.0351199796561474,1.0974692902241927,1.220913712361602,0.8,0.8,0.8,0.2
1,tv00_anchor,mixture_k3,0.0,0.0,0.0,2.0,1.0662761041827589,1.0691135754307277,1.6334605576316712,1.0,1.0,1.0,0.0
2,tv07_low,mixture_k2,0.06778298811333285,0.03893300231288242,0.007372725882716646,1.6,1.093464982474274,1.256211208246181,1.465300153376802,0.4,0.4,0.4,0.6
2,tv07_low,mixture_k3,0.06778298811333285,0.03893300231288242,0.007372725882716646,2.0,1.063113624203703,1.0659884780726174,1.5469037180486516,1.0,1.0,1.0,0.0
2,tv27_mid,mixture_k2,0.2690906300576004,0.14680245802894146,0.11374126396524739,2.0,1.2047722575449933,1.0931656368964675,1.9699300104498072,1.0,1.0,1.0,0.0
2,tv27_mid,mixture_k3,0.2690906300576004,0.14680245802894146,0.11374126396524739,3.0,1.2424893985468497,1.2493717611997581,2.4201617892771354,1.0,1.0,1.0,0.0
2,tv59_high,mixture_k2,0.5860100465483098,0.2998290735666916,0.49001090213603815,2.0,1.261324115537647,1.2049013933983477,1.962012498337416,1.0,1.0,1.0,0.0
2,tv59_high,mixture_k3,0.5860100465483098,0.2998290735666916,0.49001090213603815,3.0,1.2892653727719376,1.2422381592637692,2.739456391410586,0.6,0.0,0.4,0.4
2,tv94_extreme,mixture_k2,0.9405210919196444,0.4673022542263238,0.9672337573511609,2.0,1.6473206340872757,1.325185262081331,1.9626055533879225,1.0,1.0,1.0,0.0
2,tv94_extreme,mixture_k3,0.9405210919196444,0.4673022542263238,0.9672337573511609,3.0,1.5323035460750123,1.4880586548107082,2.536370054253708,0.8,0.8,0.8,0.2
3,tv05_low,mixture_k2,0.045211425101504735,0.026084168323360118,0.0036914384802533952,1.8,1.1427255249404058,1.3664443398919732,1.7069226066648113,0.2,0.2,0.2,0.8
3,tv05_low,mixture_k3,0.045211425101504735,0.026084168323360118,0.0036914384802533952,2.0,1.0631984813534838,1.066058714696296,1.5421942435107372,1.0,1.0,1.0,0.0
3,tv18_mid,mixture_k2,0.1810720689711748,0.09980908482203713,0.05815107893976964,2.0,1.1647460728783852,1.1961012902644206,1.8730582470269712,0.2,0.2,0.2,0.8
3,tv18_mid,mixture_k3,0.1810720689711748,0.09980908482203713,0.05815107893976964,2.8,1.188829988168276,1.16893513202119,2.2738688928922426,1.0,1.0,1.0,0.0
3,tv41_high,mixture_k2,0.4095262081114548,0.20875786766494916,0.27544477857693683,2.0,1.166843085933491,1.226081834672449,1.9342689761408352,0.6,0.6,0.6,0.4
3,tv41_high,mixture_k3,0.4095262081114548,0.20875786766494916,0.27544477857693683,3.0,1.2645349732074949,1.197129078002011,2.8554297813853764,0.8,0.8,0.8,0.2
3,tv73_extreme,mixture_k2,0.7255207166907087,0.335770044218232,0.6912487723270185,2.0,1.0884913802593412,1.6149299449430998,1.9257378938626624,0.8,0.8,0.8,0.2
3,tv73_extreme,mixture_k3,0.7255207166907087,0.335770044218232,0.6912487723270185,3.0,1.4430224292810374,1.270493563334973,2.8499204920465084,0.4,0.4,0.4,0.6
